,kanji,kana,definition
0,一つ,ひとつ,one thing
1,アメリカ人,あめりかじん,"american,  american person"
2,大した,たいした,"considerable,  great,  important,  big deal"
3,二,に,two
4,下さい,ください,"please give me,  please"
5,十,じゅう,ten
6,入れる,いれる,"to insert,  to put in"
7,三,さん,three
8,二人,ふたり,"two people,  pair,  couple,  two persons"
9,女,おんな,"woman,  female"
10,川,かわ,river
11,大きさ,おおきさ,size
12,三人,さんにん,"three people,  three persons"
13,上る,のぼる,"to climb,  to go up"
14,上がる,あがる,"to rise,  to go up,  to be raised"
15,大人,おとな,adult
16,八つ,やっつ,eight things
17,山,やま,mountain
18,九つ,ここのつ,nine things
19,力,ちから,"power,  strength"
20,入る,はいる,to enter
21,上げる,あげる,"to raise,  to raise something"
22,一,いち,one
23,入り口,いりぐち,entrance
24,ふじ山,ふじさん,"mt fuji,  mount fuji,  mt. fuji"
25,七つ,ななつ,seven things
26,人工,じんこう,"artificial,  man made,  human made"
27,下がる,さがる,"to get lower,  to fall,  to drop,  to come down,  to hang down"
28,二つ,ふたつ,two things
29,七,なな,seven
30,人,ひと,person
31,フランス人,ふらんすじん,"frenchman,  french person"
32,八,はち,eight
33,三つ,みっつ,three things
34,上,うえ,"up,  above,  over"
35,口,くち,mouth
36,下げる,さげる,"to lower,  to hang,  to lower something,  to hang something"
37,人口,じんこう,population
38,九,きゅう,nine
39,一人,ひとり,"alone,  one person"
40,下,した,"down,  below,  under,  beneath"
41,大きい,おおきい,"big,  large"
43,正しい,ただしい,"correct,  true"
44,出す,だす,"to remove,  to hand over,  to take out,  to reveal"
45,左手,ひだりて,left hand
46,田,た,"rice field,  rice paddy"
47,入力,にゅうりょく,"input,  enter"
48,日本,にほん,japan
49,中々,なかなか,"very,  considerably,  quite"
50,五月,ごがつ,may
51,五日,いつか,"fifth day,  day five,  five days"
52,上手,じょうず,"good at,  skillful,  skilled at,  skilled"
53,一月,いちがつ,january
54,六,ろく,six
55,石,いし,stone
56,天才,てんさい,genius
57,立つ,たつ,to stand
58,玉,たま,ball
59,犬,いぬ,dog
60,火,ひ,fire
61,左,ひだり,"left direction,  left"
62,千,せん,thousand
63,一千,いっせん,one thousand
64,王子,おうじ,prince
